timestamp,disk_rb,disk_rc,disk_rt,disk_wb,disk_wc,disk_wt,ram,usage
1668460277.016149,0.0,0.0,0.0,0.0,0.0,0.0,287281152,0.0
1668460277.2195327,0.0,0.0,0.0,0.0,0.0,0.0,287281152,1.2
1668460277.4218552,0.0,0.0,0.0,0.0,0.0,0.0,287281152,1.2
1668460277.6249256,0.0,0.0,0.0,0.0,0.0,0.0,287281152,0.0
1668460277.827234,0.0,0.0,0.0,0.0,0.0,0.0,287281152,0.0
1668460278.0300775,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460278.233164,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460278.4363785,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460278.639628,0.0,0.0,0.0,0.0,0.0,0.0,287510528,1.2
1668460278.8429437,0.0,0.0,0.0,0.0,0.0,0.0,287510528,1.2
1668460279.0462632,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460279.2495806,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460279.452907,0.0,0.0,0.0,0.0,0.0,0.0,287510528,1.2
1668460279.656235,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460279.8595777,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460280.062904,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460280.2662468,0.0,0.0,0.0,0.0,0.0,0.0,287510528,1.2
1668460280.4695883,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460280.67292,0.0,0.0,0.0,0.0,0.0,0.0,287510528,1.2
1668460280.87627,0.0,0.0,0.0,0.0,0.0,24.590273885544498,287510528,0.0
1668460281.0795848,0.0,0.0,0.0,181307.8876403177,9.837089989715663,9.836570911282625,287510528,0.0
1668460281.2829118,0.0,0.0,0.0,302172.0174620875,68.8558348968105,34.42719079569146,287510528,1.2
1668460281.4862678,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460281.689599,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460281.892922,0.0,0.0,0.0,0.0,0.0,0.0,287510528,0.0
1668460282.0962646,0.0,0.0,0.0,0.0,0.0,0.0,287502336,1.2
1668460282.2995937,0.0,0.0,0.0,0.0,0.0,0.0,287502336,0.0
1668460282.5029328,0.0,0.0,0.0,0.0,0.0,0.0,287502336,1.2
1668460282.7062788,0.0,0.0,0.0,0.0,0.0,0.0,287502336,0.0
1668460282.909591,0.0,0.0,0.0,0.0,0.0,0.0,287502336,0.0
1668460283.1129138,0.0,0.0,0.0,0.0,0.0,0.0,287502336,0.0
1668460283.3162498,0.0,0.0,0.0,0.0,0.0,0.0,287502336,1.2
1668460283.5196376,0.0,0.0,0.0,0.0,0.0,0.0,287502336,1.2
1668460283.7229311,0.0,0.0,0.0,0.0,0.0,0.0,287502336,1.2
1668460283.9262633,0.0,0.0,0.0,0.0,0.0,0.0,287502336,1.2
1668460284.1295757,0.0,0.0,0.0,0.0,0.0,0.0,287502336,0.0
1668460284.3329194,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460284.536257,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460284.739567,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460284.9429128,0.0,0.0,0.0,0.0,0.0,0.0,287760384,1.2
1668460285.146245,0.0,0.0,0.0,0.0,0.0,0.0,287760384,2.4
1668460285.3495703,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460285.5529869,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460285.7562795,0.0,0.0,0.0,0.0,0.0,0.0,287760384,1.2
1668460285.9595783,0.0,0.0,0.0,0.0,0.0,0.0,287760384,1.2
1668460286.1629019,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460286.3662424,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460286.5695643,0.0,0.0,0.0,0.0,0.0,0.0,287760384,1.2
1668460286.7729,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460286.976237,0.0,0.0,0.0,0.0,0.0,0.0,287760384,0.0
1668460287.1795604,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460287.3829014,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460287.5862522,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460287.7895834,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460287.9929125,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460288.1962595,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460288.3995793,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460288.602908,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460288.8062513,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460289.0095794,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460289.2129066,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460289.4162416,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460289.619992,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460289.823806,0.0,0.0,0.0,743772.9744686626,132.5051722624919,39.26152679669428,287989760,0.0
1668460290.027567,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460290.23131,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460290.4350479,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460290.6387966,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460290.842575,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460291.0463343,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460291.2500684,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460291.453879,0.0,0.0,0.0,120591.93813591148,14.724847168521865,34.34845040730112,287989760,1.2
1668460291.6576614,0.0,0.0,0.0,0.0,0.0,0.0,287989760,1.2
1668460291.8614433,0.0,0.0,0.0,0.0,0.0,0.0,287989760,0.0
1668460292.0651567,0.0,0.0,0.0,0.0,0.0,0.0,287981568,0.0
1668460292.2688756,0.0,0.0,0.0,0.0,0.0,0.0,287981568,0.0
1668460292.472621,0.0,0.0,0.0,0.0,0.0,0.0,287981568,0.0
1668460292.6765296,0.0,0.0,0.0,35050059.937957905,34.35890150296134,107.88764914619104,298635264,19.0
1668460292.880406,0.0,0.0,0.0,40209.77864324901,19.614720730284404,29.432541863832316,298635264,1.2
1668460293.0842085,0.0,0.0,0.0,0.0,0.0,0.0,298635264,1.2
1668460293.2879474,0.0,0.0,0.0,0.0,0.0,0.0,298635264,0.0
1668460293.4916894,0.0,0.0,0.0,0.0,0.0,0.0,298635264,0.0
1668460293.6954067,0.0,0.0,0.0,0.0,0.0,0.0,298635264,1.2
1668460293.899147,0.0,0.0,0.0,0.0,0.0,0.0,298635264,1.2
1668460294.1028988,0.0,0.0,0.0,0.0,0.0,0.0,298635264,0.0
1668460294.3066406,0.0,0.0,0.0,0.0,0.0,0.0,298635264,1.2
1668460294.5104022,0.0,0.0,0.0,0.0,0.0,0.0,298635264,1.2
1668460294.7134945,0.0,0.0,0.0,0.0,0.0,0.0,300064768,3.7
1668460294.9158347,0.0,0.0,0.0,75239654.80461542,78.7851363472005,202.14012217756772,300048384,21.0
1668460295.1186917,0.0,0.0,0.0,103512811.57625943,98.84300325210916,335.75762484401855,300072960,18.8
1668460295.3209474,0.0,0.0,0.0,20765736.083086904,29.572234854493857,74.01234037797555,300003328,25.3
1668460295.5231967,0.0,0.0,0.0,20742444.857085925,24.726250607205348,74.17271759467212,300101632,24.7
1668460295.7254217,0.0,0.0,0.0,19440953.30877577,14.832794816088796,69.22501332151295,300109824,23.7
1668460295.9294858,0.0,0.0,0.0,1293298.1256209118,9.886595252939658,4.926696909115256,299974656,26.8
1668460296.1316955,0.0,0.0,0.0,84981230.7529988,83.332555753197,250.8460888980618,300208128,20.0
1668460296.3339474,0.0,0.0,0.0,25924021.323160317,39.56629279198543,84.05329661715248,300167168,23.5
1668460296.5361624,0.0,0.0,0.0,23700506.47832454,59.33124920430594,93.97127507534987,300167168,23.7
1668460296.738348,0.0,0.0,0.0,16124066.903657729,34.6177712430862,64.29022239724945,300167168,26.2
1668460296.9404984,0.0,0.0,0.0,10979662.09948978,34.617118184637185,54.40480733174692,300392448,4.9
1668460297.142565,0.0,0.0,0.0,5189374.17977841,29.6786041547506,39.5922034310284,300392448,0.0
1668460297.3461015,0.0,0.0,0.0,2590411.0517758676,4.949813893878206,29.60531925406214,300392448,1.2
1668460297.5481331,0.0,0.0,0.0,5160784.683384866,34.39089722835878,39.425893809718524,300392448,0.0
